text,font,font_size,is_bold,is_italic,is_underline,is_all_caps,is_centered,contains_number,contains_fullstop,word_count,x0,y0,x1,y1,space_above,space_below,space_left,space_right,page_number,norm_font_size,norm_space_above,norm_space_below,norm_space_left,norm_space_right
Overview,"Arial,Bold",24,True,False,False,False,True,False,False,1,252.65,189.62,365.95,216.38,189.62,28.46,252.65,246.05,1,1.0,0.3938,0.148,0.43,0.4532
Foundation Level Extensions,"Arial,Bold",24,True,False,False,False,True,False,False,3,139.35,244.84,479.36,271.6,28.46,110.83,139.35,132.64,1,1.0,0.148,0.2736,0.1619,0.1647
Version 1.0,Arial,12,False,False,False,False,True,True,True,2,275.69,382.43,339.82,395.81,110.83,69.89,275.69,272.18,1,0.3333,0.2736,0.2112,0.4845,0.5196
International Software Testing Qualifications Board,Arial,18,False,False,False,False,True,False,False,5,103.34,465.7,513.42,485.77,69.89,38.03,103.34,98.58,1,0.6667,0.2112,0.1626,0.0767,0.078
"Copyright Notice  This document may be copied in its entirety, or extracts made, if the source is acknowledged.",Arial,10,False,False,False,False,False,False,True,18,70.94,652.29,484.99,674.92,21.14,117.08,70.94,127.01,1,0.2222,0.1369,0.2832,0.0,0.1503
International  Overview  Software Testing  Foundation Level Extension –   Agile Tester  Qualifications,Arial,10,False,False,False,False,False,False,False,11,74.42,38.63,515.69,72.77,-36.52,-11.11,74.42,96.31,2,0.2222,0.049,0.0877,0.0083,0.0722
Board,Arial,10,False,False,False,False,False,False,False,1,493.55,61.67,522.84,72.77,-11.11,47.59,493.55,89.16,2,0.2222,0.0877,0.1772,1.0,0.0541
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,Arial,10,False,False,False,False,False,False,True,10,70.94,120.37,483.25,131.47,47.59,587.21,70.94,128.75,2,0.2222,0.1772,1.0,0.0,0.1548
"Version 2014  Page 2 of 12  May 31, 2014",Trebuchet MS,10,False,False,False,False,True,True,False,9,76.58,718.68,533.13,730.08,587.21,6.81,76.58,78.87,2,0.2222,1.0,0.115,0.0134,0.0279
© International Software Testing Qualifications Board,Arial,6,False,False,True,False,False,False,False,6,76.58,736.89,219.29,743.58,6.81,48.42,76.58,392.71,2,0.0,0.115,0.1785,0.0134,0.8263
International  Overview  Software Testing  Foundation Level Extension –   Agile Tester,Arial,10,False,False,False,False,False,False,False,10,74.42,38.63,515.69,70.24,-36.52,-8.57,74.42,96.31,3,0.2222,0.049,0.0916,0.0083,0.0722
Qualifications Board,Arial,10,False,False,False,False,False,False,False,2,430.75,61.67,522.84,72.77,-8.57,36.16,430.75,89.16,3,0.2222,0.0916,0.1598,0.8514,0.0541
Revision History,"Arial,Bold",16,True,False,False,False,False,False,False,2,70.94,108.94,201.53,126.73,36.16,12.71,70.94,410.47,3,0.5556,0.1598,0.124,0.0,0.8714
Version  Date  Remarks  0.1  18 JUNE 2013  Initial version  0.2  23 JULY 2013  WG reviewed and confirmed  0.3  6 NOV 2013  amended population and diagram  0.7  11 DEC 2013  Amended Business Outcomes and Chapters matching  0.8  20 DEC 2013  Working group updates on 0.7  1.0  31 MAY 2014  GA release for Agile Extension,Arial,10,True,False,True,False,False,True,True,53,74.42,139.45,522.17,224.11,12.71,494.58,74.42,89.83,3,0.2222,0.124,0.8588,0.0083,0.0558
"Version 2014  Page 3 of 12  May 31, 2014",Trebuchet MS,10,False,False,False,False,True,True,False,9,76.58,718.69,533.13,730.08,494.58,6.81,76.58,78.87,3,0.2222,0.8588,0.115,0.0134,0.0279
© International Software Testing Qualifications Board,Arial,6,False,False,True,False,False,False,False,6,76.58,736.89,219.29,743.58,6.81,48.42,76.58,392.71,3,0.0,0.115,0.1785,0.0134,0.8263
International  Overview  Software Testing  Foundation Level Extension –   Agile Tester  Qualifications,Arial,10,False,False,False,False,False,False,False,11,74.42,38.63,515.69,72.77,-36.52,-11.11,74.42,96.31,4,0.2222,0.049,0.0877,0.0083,0.0722
Board,Arial,10,False,False,False,False,False,False,False,1,493.55,61.67,522.84,72.77,-11.11,36.16,493.55,89.16,4,0.2222,0.0877,0.1598,1.0,0.0541
Table of Contents,"Arial,Bold",16,True,False,False,False,False,False,False,3,70.94,108.94,208.76,126.73,36.16,17.99,70.94,403.24,4,0.5556,0.1598,0.1321,0.0,0.853
..........................................................................................................................................,"Arial,Bold",10,True,False,False,False,False,False,True,1,151.82,144.73,535.53,155.83,17.99,-11.11,151.82,76.47,4,0.2222,0.1321,0.0877,0.1914,0.0218
Revision History  3,"Arial,Bold",10,True,False,False,False,True,True,False,3,70.94,144.73,543.49,155.83,-11.11,6.29,70.94,68.51,4,0.2222,0.0877,0.1142,0.0,0.0015
........................................................................................................................................,"Arial,Bold",10,True,False,False,False,False,False,True,1,157.34,162.13,535.53,173.23,6.29,-11.11,157.34,76.47,4,0.2222,0.1142,0.0877,0.2045,0.0218
Table of Contents  4,"Arial,Bold",10,True,False,False,False,True,True,False,4,70.94,162.13,543.49,173.23,-11.11,6.41,70.94,68.51,4,0.2222,0.0877,0.1144,0.0,0.0015
............................................................................,"Arial,Bold",10,True,False,False,False,False,False,True,1,322.97,179.65,535.54,190.75,6.41,-11.11,322.97,76.46,4,0.2222,0.1144,0.0877,0.5964,0.0218
1.  Introduction to the Foundation Level Extensions  6,"Arial,Bold",10,True,False,False,False,True,True,True,8,70.94,179.65,543.49,190.75,-11.11,6.41,70.94,68.51,4,0.2222,0.0877,0.1144,0.0,0.0015
...............................................................,"Arial,Bold",10,True,False,False,False,False,False,True,1,358.87,197.17,535.51,208.27,6.41,-11.11,358.87,76.49,4,0.2222,0.1144,0.0877,0.6813,0.0218
2.  Introduction to Foundation Level Agile Tester Extension  7,"Arial,Bold",10,True,False,False,False,True,True,True,9,70.94,197.17,543.49,208.27,-11.11,6.53,70.94,68.51,4,0.2222,0.0877,0.1146,0.0,0.0015
.....................................................................................................................  ............................................................................................................  ...................................................................................................................  ...................................................................................................................  ...................................................................................................  ......................................................................................................................,Arial,10,False,False,False,False,False,False,True,6,192.99,214.8,535.64,283.44,6.53,-68.63,192.99,76.36,4,0.2222,0.1146,0.0,0.2888,0.0215
2.1  Intended Audience  7  2.2  Career Paths for Testers  7  2.3  Learning Objectives  7  2.4  Entry Requirements  8  2.5  Structure and Course Duration 8  2.6  Keeping It Current 9,Arial,10,False,False,False,False,False,True,True,29,80.9,214.8,543.5,283.44,-68.63,4.82,80.9,68.5,4,0.2222,0.0,0.112,0.0236,0.0015
3.  Overview of the Foundation Level Extension –   Agile Tester Syllabus 10,"Arial,Bold",10,True,False,False,False,True,True,True,12,70.95,288.26,543.35,301.55,4.82,-11.81,70.95,68.65,4,0.2222,0.112,0.0866,0.0,0.0019
.........................................,"Arial,Bold",10,True,False,False,False,False,False,True,1,414.08,289.73,530.03,300.84,-11.81,6.53,414.08,81.97,4,0.2222,0.0866,0.1146,0.812,0.0358
.................................................................................................................  ....................................................................................................................................,Arial,10,False,False,False,False,False,False,True,2,146.9,307.37,529.86,329.88,6.53,-22.51,146.9,82.14,4,0.2222,0.1146,0.0703,0.1798,0.0362
3.1  Business Outcomes  10  3.2  Content 10,Arial,10,False,False,False,False,False,True,True,7,80.9,307.37,543.35,329.88,-22.51,6.29,80.9,68.65,4,0.2222,0.0703,0.1142,0.0236,0.0019
..........................................................................................................................................,"Arial,Bold",10,True,False,False,False,False,False,True,1,146.3,336.18,530.01,347.28,6.29,-11.11,146.3,81.99,4,0.2222,0.1142,0.0877,0.1783,0.0358
4.  References  12,"Arial,Bold",10,True,False,False,False,True,True,True,3,70.94,336.18,543.35,347.28,-11.11,6.53,70.94,68.65,4,0.2222,0.0877,0.1146,0.0,0.0019
.............................................................................................................................  .......................................................................................................,Arial,10,False,False,False,False,False,False,True,2,167.07,353.82,529.88,376.45,6.53,-22.63,167.07,82.12,4,0.2222,0.1146,0.0701,0.2275,0.0361
4.1  Trademarks  12  4.2  Documents and Web Sites 12,Arial,10,False,False,False,False,False,True,True,9,80.9,353.82,543.36,376.45,-22.63,342.27,80.9,68.64,4,0.2222,0.0701,0.6265,0.0236,0.0019
"Version 2014  Page 4 of 12  May 31, 2014",Trebuchet MS,10,False,False,False,False,True,True,False,9,76.6,718.71,533.15,730.11,342.27,6.78,76.6,78.85,4,0.2222,0.6265,0.115,0.0134,0.0278
© International Software Testing Qualifications Board,Arial,6,False,False,True,False,False,False,False,6,76.58,736.89,219.29,743.58,6.78,48.42,76.58,392.71,4,0.0,0.115,0.1785,0.0134,0.8263
International  Overview  Software Testing  Foundation Level Extension –   Agile Tester  Qualifications,Arial,10,False,False,False,False,False,False,False,11,74.42,38.63,515.69,72.77,-36.52,-11.11,74.42,96.31,5,0.2222,0.049,0.0877,0.0083,0.0722
Board,Arial,10,False,False,False,False,False,False,False,1,493.55,61.67,522.84,72.77,-11.11,36.16,493.55,89.16,5,0.2222,0.0877,0.1598,1.0,0.0541
Acknowledgements,Arial,16,False,False,False,False,False,False,False,1,70.94,108.94,213.74,126.73,36.16,18.11,70.94,398.26,5,0.5556,0.1598,0.1323,0.0,0.8404
This document was produced by a team from the International Software Testing Qualifications Board  Foundation Level Working Group.,Arial,10,False,False,False,False,False,False,True,18,70.94,144.85,518.44,167.36,18.11,11.93,70.94,93.56,5,0.2222,0.1323,0.1228,0.0,0.0653
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,Arial,10,False,False,False,False,True,False,True,17,70.94,179.29,542.42,190.39,11.93,11.93,70.94,69.58,5,0.2222,0.1228,0.1228,0.0,0.0042
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working  Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry  Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes  and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).",Arial,10,False,False,False,False,True,False,True,53,70.94,202.33,542.88,247.91,11.93,11.93,70.94,69.12,5,0.2222,0.1228,0.1228,0.0,0.0031
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon  Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.",Arial,10,False,False,False,False,False,False,True,24,70.94,259.84,509.54,282.47,11.93,11.81,70.94,102.46,5,0.2222,0.1228,0.1227,0.0,0.0879
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra  Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula  Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,  Robert Treffny, Chris Van Bael, and Erik van Veenendaal.",Arial,10,False,False,False,False,False,False,True,41,70.94,294.29,529.53,339.96,11.81,11.81,70.94,82.47,5,0.2222,0.1227,0.1227,0.0,0.037
"The team thanks also the following persons, from the National Boards and the Agile expert community,  who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani  Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,  Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill  Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter  Morgan,   Ninna Morin,   Ingvar Nordstrom,   Chris   O’Dea,   Klaus   Olsen, Ismo   Paukamainen,   Nathalie Phung,   Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik  Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,  Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye  Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.",Arial,10,False,False,False,False,True,False,True,141,70.94,351.78,542.87,466.49,11.81,11.81,70.94,69.13,5,0.2222,0.1227,0.1227,0.0,0.0031
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,  2014.",Arial,10,False,False,False,False,False,True,True,18,70.94,478.31,526.28,500.94,11.81,217.81,70.94,85.72,5,0.2222,0.1227,0.4368,0.0,0.0453
"Version 2014  Page 5 of 12  May 31, 2014",Trebuchet MS,10,False,False,False,False,True,True,False,9,76.58,718.74,533.13,730.14,217.81,6.75,76.58,78.87,5,0.2222,0.4368,0.1149,0.0134,0.0279
© International Software Testing Qualifications Board,Arial,6,False,False,True,False,False,False,False,6,76.58,736.89,219.29,743.58,6.75,48.42,76.58,392.71,5,0.0,0.1149,0.1785,0.0134,0.8263
International  Overview  Software Testing  Foundation Level Extension –   Agile Tester,Arial,10,False,False,False,False,False,False,False,10,74.42,38.63,515.69,70.24,-36.52,-8.57,74.42,96.31,6,0.2222,0.049,0.0916,0.0083,0.0722
Qualifications Board,Arial,10,False,False,False,False,False,False,False,2,430.75,61.67,522.84,72.77,-8.57,50.2,430.75,89.16,6,0.2222,0.0916,0.1812,0.8514,0.0541
1.  Introduction to the Foundation Level Extensions,Arial,16,True,False,True,False,False,True,True,7,70.94,122.98,466.02,140.77,50.2,5.51,70.94,145.98,6,0.5556,0.1812,0.113,0.0,0.1986
This overview document is intended for anyone with an interest in the ISTQB Foundation Level  Extensions who wants a high-level introduction to the leading principles and an overview of the individual  extension syllabi.,Arial,10,False,False,False,False,True,False,True,33,70.94,146.29,543.97,180.44,5.51,11.81,70.94,68.03,6,0.2222,0.113,0.1227,0.0,0.0003
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be  introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the  updated document will be available on the ISTQB website.",Arial,10,False,False,False,False,True,False,True,42,70.94,192.25,544.09,226.4,11.81,11.96,70.94,67.91,6,0.2222,0.1227,0.1229,0.0,0.0
"The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for  some time. New topics emerge due to technology and methodology changes in the market which often  are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the  Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the  ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and  introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but  that is beyond the scope of this document.",Arial,10,False,False,False,False,True,False,True,107,70.94,238.37,544.08,318.49,11.96,11.81,70.94,67.92,6,0.2222,0.1229,0.1227,0.0,0.0
The following Foundation Level Extension syllabus has been released:,Arial,10,False,False,False,False,False,False,False,9,70.94,330.31,385.53,341.41,11.81,-0.34,70.94,226.47,6,0.2222,0.1227,0.1041,0.0,0.4034
   Agile Tester,Symbol,10,False,False,False,False,False,False,False,3,88.95,341.07,163.03,354.36,-0.34,11.11,88.95,448.97,6,0.2222,0.1041,0.1216,0.0426,0.9694
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business  Outcomes are stated. The Business Outcomes communicate what can be expected from a person who  achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and  will outline the benefits for companies that are considering the development of specific testing skills at this  level.",Arial,10,False,False,False,False,True,False,True,62,70.95,365.47,544.06,422.69,11.11,296.04,70.95,67.94,6,0.2222,0.1216,0.556,0.0,0.0001
"Version 2014  Page 6 of 12  May 31, 2014",Trebuchet MS,10,False,False,False,False,True,True,False,9,76.59,718.73,533.14,730.12,296.04,6.77,76.59,78.86,6,0.2222,0.556,0.115,0.0134,0.0279
© International Software Testing Qualifications Board,Arial,6,False,False,True,False,False,False,False,6,76.58,736.89,219.29,743.58,6.77,48.42,76.58,392.71,6,0.0,0.115,0.1785,0.0134,0.8263
International  Overview  Software Testing  Foundation Level Extension –   Agile Tester,Arial,10,False,False,False,False,False,False,False,10,74.42,38.63,515.69,70.24,-36.52,-8.57,74.42,96.31,7,0.2222,0.049,0.0916,0.0083,0.0722
Qualifications Board,Arial,10,False,False,False,False,False,False,False,2,430.75,61.67,522.84,72.77,-8.57,50.2,430.75,89.16,7,0.2222,0.0916,0.1812,0.8514,0.0541
2.  Introduction to Foundation Level Agile Tester Extension,Arial,16,True,False,True,False,False,True,True,8,70.94,122.98,523.07,140.77,50.2,4.04,70.94,88.93,7,0.5556,0.1812,0.1108,0.0,0.0535
"The certification for Foundation Level Extension –   Agile Tester is designed for professionals who are  working within Agile environments. It is also for professionals who are planning to start implementing  Agile methods in the near future, or are working within companies that plan to do so, The certification  provides an advantage for those who would like to know the required Agile activities, roles, methods, and  methodologies specific to their role.",Arial,10,False,False,False,False,True,False,True,70,70.94,144.81,544.09,203.37,4.04,13.99,70.94,67.91,7,0.2222,0.1108,0.126,0.0,0.0
2.1 Intended Audience,Arial,14,False,False,True,False,False,True,True,3,70.94,217.35,218.72,233.01,13.99,6.39,70.94,393.28,7,0.4444,0.126,0.1144,0.0,0.8277
The Foundation Level Extension –   Agile Tester qualification is aimed at four main groups of professionals:,Arial,10,False,False,False,False,True,False,False,16,70.94,239.4,541.66,252.69,6.39,-0.29,70.94,70.34,7,0.2222,0.1144,0.1042,0.0,0.0062
